Author,Dominant Cluster,Max Score
Pappalardo Michele,3,20.2727
Pantè Antonino,3,20.3529
Lanza Giuseppe,3,8
Marletta Antonio,4,1
Sanfilippo Orazio,4,20.25
Ruggeri Sebastiano,3,6.33333
Gambino Domenico,5,5
Strati Filippo,3,1
Bellabarba Giovan Battista,3,15.4
Trovato Antonino,3,4
Raynieri Giacomo,3,21.5
Di Mauro Giuseppe,4,1
Iozzia Giuseppe,3,11
Magazzu Antonia,3,9.6
Baiardo Luigi,3,17.8889
D'Amico Onofrio,8,15.775
Trifiletti Salvatore,3,19
Di Blasi Antonino,3,15.2
Panato Antonio,3,34.5
Astri Norina,3,16
De Francesco Francesco,3,42.6667
Sgariglia Bonaventura,3,7.5
Nioi Antonio,3,20.7778
Consolo Luigi,3,32
Orso Carmine Giuseppe,4,2
Graziano Leonardo,3,23
Mattioli Giovanni,3,26
Marziano Vincenzo,3,22.5
Tricarichi Vito Antonino,3,21.5556
Di Natale Tito Aurelio,3,18.6667
Trovato Gaetano,3,36
Sacca Antonino,3,29.6667
Gulli Antonino,3,10
Cavoli Antonino,3,5.6
Scuderi Rosario,3,11.6667
La Ganga Vincenzo,3,2.5
Veca Orazio,3, 8,12
Randazzo Vito,9,15.125
Gulli Giovan Battista,3,52
Galuppi Giovanni,9,10
Imbert Francesco,3,4
Romeo Paolo,3,40.5
CAVARRA M. ANGELA CONSOLAZIONE,4,12.5
Cacciola Egidio,4,9
Amendolia Maria,6,16
Borruto Maria Nicola,3,22
Ioppolo Giovanni,3,24
Celona Calogero,None,0
Gabriele Alfredo,3,26.8571
B. Alberto,1,2
B. Giuseppe,9,11
Barbera Francesco,3,4.5
Marito di C. Filomena,1,23
C. Filomena,1, 3,8
C. Francesco_1,1,15
C. Leonardo,3,16.5
C. Francesco_2,3,20.5
D'ARRIGO ALESSANDRO,3,12
SINOPOLI LETTERIO,3, 4,20
La Pusata Alessandra,0, 3, 4,8
Politi Giovanni,0, 3,12
Incarnò Tindaro,3,5
Catania Giuseppe,3,6.66667
Pappalardo Giuseppe,3,25
Librizzi Antonino,3,12.5
Bella Domenico Maria,3,19.25
Crinò Giuseppe,3,14.6667
Imprescia Mario,8,18
Nanni Teresa,3,18
Ruggeri Giuseppe,3,28
Mastroeni Nicola,6,3.33333
Cannavò Giovanni,3,20
Balsamà Antonio,None,0
Bazza Vincenzo,3,8.5
Benedetti Antonino,3,21.3333
Santo P.,3,22.6667
G. Antonino,2, 3,11
V. Ivo,1, 3,6
O. Angelo,3,15
P. Francesco,3,9.25
S. FRANZ,3,56
P. Domenico,3,13.5714
L. Felice,3,13.25
N. Ettore,3,20
S. Francesco,None,0
V. Maria Rosa,3,20.25
Vadalà Adriana,None,0
Fanara Luigi,3,10.6667
La Torre Rocco,4,1.33333
Lo Castro Giuseppe,9,20
Lo Giudice Antonio Giovanni,3,16
Maccarrone Angelo Sanglair,3, 4, 6,4
Pompignano Giuseppe,3,12.8
Satariano Giovanni,6,25.6
Portale Salvatore,None,0
Di Giovanni Ottavio,3,22.8182
Rando Lorenzo,3,17.8
Rizzo Leo,3,30
Tinuzzo Placido,3,8.33333
D. GUGLIELMO,2,13
D. Leonardo,3, 9,8.5
C. Francesco_3,3,32
