Doc_ID,Author,Dominant Cluster
1,Pappalardo Michele,Cluster 1
2,Pappalardo Michele,Cluster 1
3,Pappalardo Michele,Cluster 1 / Cluster 3
4,Pappalardo Michele,Cluster 1
5,Pappalardo Michele,Cluster 1
6,Pappalardo Michele,Cluster 3
7,Pappalardo Michele,Cluster 2
8,Pappalardo Michele,Cluster 2
9,Pantè Antonino,Cluster 3
10,Pantè Antonino,Cluster 2
11,Pantè Antonino,Cluster 1
12,Pantè Antonino,Cluster 1
13,Pantè Antonino,Cluster 2
14,Pantè Antonino,Cluster 1
15,Pantè Antonino,Cluster 1
16,Pantè Antonino,Cluster 3
17,Pantè Antonino,Cluster 1
18,Pantè Antonino,Cluster 3
19,Pantè Antonino,Cluster 1
20,Pantè Antonino,Cluster 1
21,Pantè Antonino,Cluster 1
22,Pantè Antonino,Cluster 3
23,Lanza Giuseppe,Cluster 3
24,Lanza Giuseppe,Cluster 3
25,Lanza Giuseppe,Cluster 3
26,Lanza Giuseppe,Cluster 3
27,Lanza Giuseppe,Cluster 3
28,Marletta Antonio,Cluster 2
29,Sanfilippo Orazio,Cluster 3
30,Sanfilippo Orazio,Cluster 2
31,Sanfilippo Orazio,Cluster 2
32,Sanfilippo Orazio,Cluster 2
33,Ruggeri Sebastiano,Cluster 2
34,Ruggeri Sebastiano,Cluster 1
35,Ruggeri Sebastiano,Cluster 2
36,Gambino Domenico,Cluster 3
37,Gambino Domenico,Cluster 4
38,Gambino Domenico,Cluster 3
39,Gambino Domenico,Cluster 4
40,Strati Filippo,Cluster 2
41,Bellabarba Giovan Battista,Cluster 1
42,Bellabarba Giovan Battista,Cluster 3
43,Bellabarba Giovan Battista,Cluster 1
44,Bellabarba Giovan Battista,Cluster 2
45,Bellabarba Giovan Battista,Cluster 2
46,Trovato Antonino,Cluster 3
47,Trovato Antonino,Cluster 2
48,Raynieri Giacomo,Cluster 3
49,Raynieri Giacomo,Cluster 3
50,Di Mauro Giuseppe,Cluster 3
51,Iozzia Giuseppe,Cluster 3
52,Magazzu Antonia,Cluster 3
53,Magazzu Antonia,Cluster 3
54,Magazzu Antonia,Cluster 2
55,Magazzu Antonia,Cluster 2
56,Magazzu Antonia,Cluster 2
57,Baiardo Luigi,Cluster 3
58,Baiardo Luigi,Cluster 1
59,Baiardo Luigi,Cluster 1
60,Baiardo Luigi,Cluster 1
61,Baiardo Luigi,Cluster 1
62,Baiardo Luigi,Cluster 1
63,Baiardo Luigi,Cluster 1
64,Baiardo Luigi,Cluster 1
65,Baiardo Luigi,Cluster 2
66,D'Amico Onofrio,Cluster 3
67,D'Amico Onofrio,Cluster 3
68,D'Amico Onofrio,Cluster 1
69,D'Amico Onofrio,Cluster 1
70,D'Amico Onofrio,Cluster 3
71,D'Amico Onofrio,Cluster 3
72,D'Amico Onofrio,Cluster 3
73,D'Amico Onofrio,Cluster 3
74,D'Amico Onofrio,Cluster 3
75,D'Amico Onofrio,Cluster 3
76,D'Amico Onofrio,Cluster 3
77,D'Amico Onofrio,Cluster 1
78,D'Amico Onofrio,Cluster 3
79,D'Amico Onofrio,Cluster 3
80,D'Amico Onofrio,Cluster 3
81,D'Amico Onofrio,Cluster 3
82,D'Amico Onofrio,Cluster 3
83,D'Amico Onofrio,Cluster 1
84,D'Amico Onofrio,Cluster 3
85,D'Amico Onofrio,Cluster 3
86,D'Amico Onofrio,Cluster 3
87,D'Amico Onofrio,Cluster 1
88,Trifiletti Salvatore,Cluster 1
89,Trifiletti Salvatore,Cluster 3
90,Di Blasi Antonino,Cluster 3
91,Di Blasi Antonino,Cluster 1
92,Di Blasi Antonino,Cluster 3
93,Di Blasi Antonino,Cluster 3
94,Di Blasi Antonino,Cluster 1
95,Panato Antonio,Cluster 1
96,Panato Antonio,Cluster 1
97,Astri Norina,Cluster 3
98,Astri Norina,Cluster 1
99,De Francesco Francesco,Cluster 1
100,De Francesco Francesco,Cluster 1
101,De Francesco Francesco,Cluster 1
102,Sgariglia Bonaventura,Cluster 1
103,Sgariglia Bonaventura,Cluster 1
104,Nioi Antonio,Cluster 1
105,Nioi Antonio,Cluster 2
106,Nioi Antonio,Cluster 1
107,Nioi Antonio,Cluster 3
108,Nioi Antonio,Cluster 3
109,Nioi Antonio,Cluster 1
110,Nioi Antonio,Cluster 1
111,Nioi Antonio,Cluster 1
112,Consolo Luigi,Cluster 1
113,Orso Carmine Giuseppe,Cluster 2
114,Orso Carmine Giuseppe,Cluster 2
115,Graziano Leonardo,Cluster 2
116,Mattioli Giovanni,Cluster 1
117,Mattioli Giovanni,Cluster 1
118,Marziano Vincenzo,Cluster 1
119,Marziano Vincenzo,Cluster 1
120,Tricarichi Vito Antonino,Cluster 3
121,Tricarichi Vito Antonino,Cluster 1
122,Di Natale Tito Aurelio,Cluster 1
123,Di Natale Tito Aurelio,Cluster 1
124,Di Natale Tito Aurelio,Cluster 3
125,Trovato Gaetano,Cluster 1
126,Sacca Antonino,Cluster 4
127,Sacca Antonino,Cluster 1
128,Sacca Antonino,Cluster 3
129,Gulli Antonino,Cluster 3
130,Gulli Antonino,Cluster 2
131,Cavoli Antonino,Cluster 4
132,Cavoli Antonino,Cluster 4
133,Cavoli Antonino,Cluster 4
134,Cavoli Antonino,Cluster 4
135,Cavoli Antonino,Cluster 3
136,Scuderi Rosario,Cluster 3
137,Scuderi Rosario,Cluster 3
138,Scuderi Rosario,Cluster 3
139,La Ganga Vincenzo,Cluster 3
140,La Ganga Vincenzo,Cluster 2
141,Veca Orazio,Cluster 3
142,Randazzo Vito,Cluster 4
